Year,City,Population,Average Wage,Number of Employees,65+ percentage,0-17 percentage
2002,נהרייה,47.4,6240,22127,13.8516363,26.8134278
2002,נס ציונה,25.8,7667,12314,10.13246572,28.75513208
2002,נצרת,61.7,4276,16642,4.752029293,42.51551336
2002,נצרת עילית,44.3,4746,19445,15.79327629,23.60073153
2002,נשר,20.9,6431,9636,11.12443059,26.13761688
2002,נתיבות,21.8,4122,6943,6.937184778,42.97111417
2002,נתניה,164.8,5367,69675,15.09550739,27.5266377
2002,סח'נין,22.6,3635,5801,2.901943463,45.22526502
2002,עכו,45.8,4605,17249,11.36175045,31.05647028
2002,עפולה,38.5,5202,16907,11.88707667,29.66445045
2002,ערד,24.5,5268,10694,12.94626464,28.69558122
2002,פתח תקווה,172.6,6400,81389,13.10061126,27.09348475
2002,צפת,26.4,4831,8630,10.62502363,39.78144969
2002,קלנסווה,15.5,4378,2833,2.269641125,49.35014549
2002,קריית אונו,23.9,8390,11956,13.83810918,25.27504706
2002,קריית אתא,48.8,5511,20454,12.07165109,27.54140023
2002,קריית ביאליק,37.1,6119,17514,15.34544083,23.23237767
2002,קריית גת,48.2,4604,18776,11.61478962,31.25272173
2002,קריית ים,38.7,4911,16735,17.19097061,22.95314841
2002,קריית מוצקין,39.4,6359,18628,14.81725888,24.11928934
2002,קריית מלאכי,19.1,4075,6832,6.893122579,36.40217733
2002,קריית שמונה,21.6,4956,10087,8.736652337,29.28858688
2002,ראש העין,35.2,7679,14437,5.683624801,37.24733136
2002,ראשון לציון,211.6,6976,101285,9.55342669,27.60776789
2002,רהט,34.1,3608,5103,1.418564436,61.39980656
2002,רחובות,98.8,7051,44943,12.14444118,28.73229168
2002,רמלה,62.8,4647,23565,8.735390593,32.35406516
2002,רמת גן,126.6,7320,59399,18.23826338,21.40278535
2002,רמת השרון,35.6,9871,17304,13.66302731,24.8505431
2002,רעננה,68.9,9247,31041,9.359076722,27.91899543
2002,שדרות,19.4,4173,8711,9.727305531,32.11505748
2002,שפרעם,30.3,4266,8058,3.953963857,41.56443741
2002,תל אביב -יפו,360.4,7287,182091,16.40349052,20.14622439
2002,אבו גוש,5.2,3963,1273,4.102961099,42.79078769
2002,אבו סנאן,10.8,,,3.78054403,42.24988474
2002,אבן יהודה,8.5,9107,3805,7.355021216,32.83828383
2002,אורנית,5.2,9123,2288,2.369029276,36.34437596
2002,אזור,9.7,6275,4394,11.20529254,26.63841224
2002,אכסאל,10.3,4233,2135,2.238372093,47.42248062
2002,אליכין,2.4,5632,1076,11.40461216,34.17190776
2002,אלעד,15.1,4166,4610,0.511559926,51.9332979
2002,אלפי מנשה,5.2,8119,2746,2.305640244,31.63109756
2002,אלקנה,3,9204,1509,2.505769865,33.30036268
2002,אעבלין,10,4027,2555,3.104786546,43.6361827
2002,אפרתה,6.8,7675,2448,2.50990753,47.86437693
2002,באר יעקב,8.3,6153,2740,7.778312094,35.04448185
2002,בועיינה-נוג'ידאת,7.1,3329,1428,1.93257159,49.71081958
2002,בוקעאתא,5.1,3096,1395,4.736739088,40.26228225
2002,ביר אל-מכסור,6.4,3786,1573,2.548166563,49.42510876
2002,בית אל,4.4,5860,1452,1.677624122,52.00634777
2002,בית אריה,2.5,8254,1141,1.654560129,36.07748184
2002,בית ג'ן,9.4,4915,2796,4.961306053,42.5421393
2002,בית דגן,4.8,6725,2188,7.346854305,32.9263245
2002,"בני עי""ש",7.6,4981,3132,14.95969341,26.47019955
2002,בנימינה,6.3,,,6.968253968,32.12698413
2002,"בסמ""ה",6.8,3527,1583,1.751030018,57.37198352
2002,בסמת טבעון,5.8,3857,1411,3.060337333,44.86176317
2002,בענה,6.7,,,2.886475227,44.24936765
2002,גבעת זאב,10.6,7546,4696,3.122936126,37.40918955
2002,גבעת עדה,2.5,,,8.818897638,37.44094488
2002,גבעת שמואל,15.2,8764,7489,8.178217822,32.56765677
2002,ג'דיידה-מכר,16.3,3550,4027,2.937741995,44.38571692
2002,גדרה,11.7,7292,5172,11.75515089,35.97503633
2002,ג'ולס,5,,,4.807500499,41.77139437
2002,ג'לג'וליה,6.9,3449,1488,2.21574344,49.62099125
2002,גן יבנה,12.2,7367,5197,4.218056241,39.60697254
2002,גני תקווה,11.5,8782,5327,8.335510844,30.91194147
2002,ג'סר א-זרקא,10.2,2802,2965,1.418719212,50.62068966
2002,ג'ש (גוש חלב),2.6,4695,973,9.385999218,34.80641377
2002,ג'ת,8.7,,,3.675875621,46.66512542
2002,דאלית אל-כרמל,13.3,,,4.205712572,36.4719994
2002,דבורייה,7.7,4135,1756,3.873147907,44.34624383
2002,דייר אל-אסד,8.3,,,2.968504887,48.72692168
2002,דייר חנא,7.8,3611,2174,3.164638053,44.62524023
2002,הר אדר,1.7,,,2.431962942,28.6045165
2002,זכרון יעקב,14.3,9961,5605,7.603896559,37.51489242
2002,זמר,4.8,4184,1158,3.397651007,46.09899329
2002,זרזיר,5.8,4113,1372,2.284527518,49.08272759
2002,חורה,7.6,4248,1021,1.347424042,57.35799207
2002,חורפיש,4.9,5436,1405,4.034405079,43.47737047
2002,חצור הגלילית,8.5,4524,3384,8.141303076,37.15054392
2002,טובא-זנגרייה,4.8,3139,1419,2.003757044,46.64996869
2002,טורעאן,10.3,3738,2249,3.314541213,46.80209953
2002,יאנוח-ג'ת,4.8,,,3.300605807,43.59724253
2002,יבנאל,2.6,5740,909,8.074534161,40.83850932
2002,יסוד המעלה,1.2,,,8.21799308,30.96885813
2002,יפיע,15.4,4019,3498,3.280176326,43.7378452
2002,יקנעם עילית,16.7,6480,8007,7.043264915,33.76817665
2002,ירוחם,8.6,4739,3083,8.137915022,34.36266543
2002,ירכא,11.6,,,3.125,46.02272727
2002,כאבול,8.7,3731,2132,2.46729401,45.7883865
2002,כאוכב אבו אל-היג'א,2.6,4042,746,4.224806202,41.58914729
2002,כוכב יאיר,4.8,,,1.859504132,30.90909091
2002,כנרת (מושבה),0.5,,,10.46277666,32.3943662
2002,כסיפה,7.9,3656,1253,1.107893743,60.94674556
2002,כסרא-סמיע,6.1,4672,1741,3.13066403,48.24518043
2002,כעביה-טבאש-חג'אג'רה,3.5,3577,894,2.46040724,51.15950226
2002,כפר ברא,2.3,4779,499,1.908065915,54.46660885
2002,כפר ורדים,5,10158,2394,5.531237565,34.63987266
2002,כפר יאסיף,7.8,4159,2661,4.977607166,39.38579655
2002,כפר יונה,10.9,6516,4834,4.839746533,35.0720911
2002,כפר כמא,2.7,5305,971,6.504065041,36.10495196
2002,כפר כנא,16.1,3552,3292,2.721893491,48.07848022
2002,כפר מנדא,13.8,3264,2592,2.25339827,53.48549829
2002,כפר קאסם,15.7,3876,3571,2.816004077,49.82798165
2002,כפר קרע,13.1,4348,3672,3.052736015,44.73021445
2002,כפר שמריהו,1.8,,,20.33519553,24.30167598
2002,כפר תבור,2.3,9113,1144,3.931847969,34.16339013
2002,להבים,4.8,11662,2574,2.870312173,34.44374607
2002,לקיה,6.1,3709,1019,1.857025472,54.494659
2002,מבשרת ציון,20.8,9150,9403,5.597659248,33.98407521
2002,מגאר,17.9,4488,4159,3.069196429,45.26785714
2002,מג'ד אל-כרום,11.4,,,3.105318404,45.94996501
2002,מגדל,1.4,,,7.075812274,29.38628159
2002,מג'דל שמס,8.2,2777,2322,4.322486644,36.61971831
2002,מודיעין עילית,22,3226,3572,1.002494897,56.45724654
2002,מזכרת בתיה,7.3,8522,3320,4.838930775,35.50376971
2002,מזרעה,3.2,4349,890,3.865182437,44.15584416
2002,מטולה,1.5,,,5.195681511,32.72604588
2002,מיתר,6.1,10562,3098,4.721311475,34.09836066
2002,מכבים-רעות,10.7,,,0.89017991,39.3928036
2002,מנחמיה,1.1,,,6.08537693,29.15531335
2002,מסעדה,3,2981,914,4.271523179,37.05298013
2002,מעיליא,2.6,5469,929,10.35294118,33.17647059
2002,מעלה אפרים,1.4,,,3.417015342,32.28730823
2002,מעלה עירון,10.6,3535,2366,2.713869847,47.66644755
2002,מצפה רמון,4.8,5863,2164,8.738065587,34.86924035
2002,משהד,6.4,3573,1043,2.597809077,50.01564945
2002,נווה אפרים,2.6,,,10.86873326,24.2250287
2002,נחף,9.2,3958,2103,2.505966587,50.27120851
2002,סאג'ור,3.3,4752,1061,3.183183183,45.67567568
2002,סביון,2.5,,,17.11273317,23.15490673
2002,ע'ג'ר,1.8,,,2.819956616,48.31887202
2002,עומר,5.8,12292,3503,13.46910833,23.395516
2002,עיילבון,4,4690,1340,4.871414441,39.0702275
2002,עילוט,6,3329,832,2.20746888,49.31120332
2002,עין מאהל,9.8,3481,2001,2.571138211,47.67276423
2002,עין קנייא,1.7,,,4.728950404,37.83160323
2002,עמנואל,2.4,4123,554,3.569910752,52.82617935
2002,עספיא,9.5,,,5.459317585,36.22047244
2002,עראבה,17.9,3662,3944,2.639950885,47.57492884
2002,ערערה,10.5,3876,3591,1.298205422,61.59793814
2002,ערערה-בנגב,14.5,3541,1052,3.565517241,43.37241379
2002,עתלית,4.4,6836,1826,9.052015312,27.33618554
2002,פוריידיס,9.3,3388,2587,2.429106474,44.68699839
2002,פסוטה,2.9,4358,987,7.767669699,35.68929321
2002,פקיעין (בוקייעה),4.8,4836,1588,5.798319328,39.22268908
2002,פרדס חנה-כרכור,28.8,5985,12181,11.48751734,31.51178918
2002,פרדסייה,5.9,9052,2515,2.228600371,36.60307277
2002,צורן,5.7,,,3.570166136,41.97596324
2002,קדומים,2.8,5962,1184,2.860207365,44.40471934
2002,קדימה,9.1,,,6.010510182,36.79658419
2002,קציר-חריש,3.5,6781,1234,4.170237075,34.99000286
2002,קצרין,6.3,4922,3038,8.597357109,31.12561694
2002,קריית ארבע,6.6,4396,2099,4.787961696,46.2380301
2002,קריית טבעון,13.3,8198,6473,15.68671623,26.79282121
2002,קריית יערים,2.8,4947,430,2.906770649,51.15207373
2002,קריית עקרון,9.6,5638,3842,7.790855119,32.36121237
2002,קרני שומרון,6.1,6314,2416,3.309847616,40.45551368
2002,ראמה,7.3,4773,2278,6.679494228,38.92248488
2002,ראש פינה,2.2,6386,1026,5.932971014,30.52536232
2002,ריינה,14.4,3868,2755,3.130844358,44.4067327
2002,רכסים,7.7,4303,1858,3.923593185,50.63242127
2002,רמות השבים,1.1,,,8.679927667,33.63471971
2002,רמת ישי,5.3,8731,2328,3.656688139,32.39863585
2002,שבי ציון,0.6,,,17.60904685,24.71728595
2002,שבלי - אום אל-גנם,4.4,3903,1255,2.796725784,44.86130059
2002,שגב-שלום,5.3,3922,688,1.328525337,61.5676599
2002,שוהם,15.6,11508,6285,1.55407141,44.48368867
2002,שלומי,4.9,5085,2551,6.860158311,31.1751573
2002,שעב,5.5,3531,1258,2.640264026,46.91969197
2002,תל מונד,7.3,9285,3267,5.217511013,36.38491189
2002,תל שבע,11.2,3656,1236,1.245966296,62.87199713
2003,אום אל-פחם,39,3172,8121,2.456077447,47.85125237
2003,אופקים,23.7,3979,7144,9.614248333,36.83210939
2003,אור יהודה,29.4,5533,12005,8.361374528,30.64477754
2003,אור עקיבא,15.7,4089,6771,9.978944682,29.23499011
2003,אילת,43.5,5143,24698,5.940707741,27.33598181
2003,אריאל,16.5,5345,7697,7.659213476,28.43119433
2003,אשדוד,192,5167,69386,11.05510368,32.56647122
2003,אשקלון,104.5,4596,38306,13.32861163,28.68628089
2003,באקה-ג'ת,20.5,3798,7160,2.937880633,44.99878197
2003,באר שבע,183,5458,71426,11.77753008,27.56832661
2003,בית שאן,16.1,4258,6381,6.927186879,35.5554175
2003,בית שמש,57,5010,15415,4.803141325,47.53707534
2003,ביתר עילית,22.9,3203,3426,0.667364564,61.9209631
2003,בני ברק,139.6,4482,30999,8.300270708,46.87038973
2003,בת ים,131.9,4630,57724,18.38277098,21.40891621
2003,גבעתיים,47.2,8298,21240,20.06059065,20.42710055
2003,דאלית אל-כרמל,13.6,4697,6437,4.442804428,36.03690037
2003,דימונה,33.9,5347,12278,9.478994572,31.69695539
2003,הוד השרון,40.2,8903,17448,8.234386279,30.41595101
2003,הרצלייה,83.6,8016,37390,13.21314141,23.34178184
2003,חדרה,74.9,5130,30669,12.08622531,28.26081153
2003,חולון,165.8,5713,72204,14.71349375,24.23977367
2003,חיפה,269.4,6634,105751,17.96767704,22.40670215
2003,טבריה,40.1,4270,14916,9.634949132,31.98932775
2003,טייבה,31.2,3507,7536,3.456221198,44.4796467
2003,טירה,19.8,3807,4611,3.96379999,43.14677183
2003,טירת כרמל,18.8,4549,7209,11.37075787,27.21865208
2003,טמרה,24.7,3300,5526,3.070139956,44.86692015
2003,יבנה,31.9,6470,12775,5.889185371,32.26181133
2003,יהוד,22.3,7700,10933,8.932969149,29.89298348
2003,ירושלים,693.2,5704,178360,8.283409091,40.40062491
2003,כפר סבא,78.8,7571,36065,11.71745117,26.35887153
2003,כרמיאל,42.7,5441,18963,12.39725546,25.87171861
2003,לוד,66.8,4821,24129,10.0757213,33.27397342
2003,מגדל העמק,24.8,4475,9460,11.07838786,32.17412353
2003,מודיעין-מכבים-רעות,38.1,9874,19741,2.859841528,43.08128247
2003,מעלה אדומים,27.3,6580,11985,4.457243479,38.90091346
2003,מעלות-תרשיחא,21,4737,7584,10.89245724,30.66660314
2003,נהרייה,48.4,6072,20362,13.86834167,26.81722385
2003,נס ציונה,26.5,7540,11802,10.1681496,28.5552707
2003,נצרת,62.7,3949,15569,5.001116321,42.54297834
2003,נצרת עילית,44.2,4578,18594,16.20703709,23.29393651
2003,נשר,21.2,6091,9034,11.92760267,25.29653608
2003,נתיבות,22.9,3660,6456,6.785433587,43.00497773
2003,נתניה,167.1,5171,67368,15.10855966,27.49699194
2003,סח'נין,23.2,3279,5302,2.996899759,44.93196693
2003,עכו,45.6,4386,16232,11.49893731,30.70400316
2003,עפולה,38.9,4806,15968,12.15583346,28.92800165
2003,ערד,24.1,5370,9984,13.67854184,28.27257664
2003,פתח תקווה,173.8,6205,75496,13.3100913,26.90265385
2003,צפת,26.8,4246,7785,10.59723778,39.99253453
2003,קלנסווה,15.9,3821,3425,2.343112005,48.99177084
2003,קריית אונו,24.3,8386,11085,13.84482261,25.46046397
2003,קריית אתא,48.9,5290,19051,12.27758007,26.91127746
2003,קריית ביאליק,37.1,5938,15915,15.59905101,22.5142888
2003,קריית גת,48.3,4201,17884,11.75422236,30.54812973
2003,קריית ים,38.4,4785,15447,17.61225926,22.2902713
2003,קריית מוצקין,39.7,6099,16753,15.10583142,23.65791659
2003,קריית מלאכי,19.2,3841,6586,7.22972973,35.75883576
2003,קריית שמונה,22,4526,9678,8.789710494,28.93696314
2003,ראש העין,36,7121,12817,5.81350089,36.92448843
2003,ראשון לציון,214.6,6787,95485,9.792839304,27.13590785
2003,רהט,35.8,3454,4951,1.3450783,61.46252796
2003,רחובות,100.1,6732,41323,12.28135021,28.61652498
2003,רמלה,63.1,4516,22635,8.851155497,32.24304247
2003,רמת גן,126.5,7182,55322,18.22484927,21.245071
2003,רמת השרון,35.6,9776,15555,14.13999494,24.67474078
2003,רעננה,69.7,9363,29677,9.564006489,27.42725067
2003,שדרות,19.8,4072,8158,9.679209119,31.56965601
2003,שפרעם,31.2,4129,7883,4.090077952,41.71879511
2003,תל אביב-יפו,363.4,7192,174560,16.0784508,20.24068005
2003,אבו גוש,5.3,3598.329771,1310,4.015912105,42.56487971
2003,אבו סנאן,10.9,3706.89471,2596,3.909389843,41.69711363
2003,אבן יהודה,8.7,9108.803269,3706,7.596541787,32.02305476
2003,אורנית,5.3,8698.197244,2183,2.577125658,35.34612491
2003,אזור,9.9,6038.623464,4178,10.97524002,26.81152097
2003,אכסאל,10.6,4032.382505,2193,2.296902946,47.21829992
2003,אליכין,2.5,5463.604298,954,10.92436975,34.13365346
2003,אלעד,19,3945.359302,4820,0.537747786,53.37937579
2003,אלפי מנשה,5.3,7561.869351,2515,2.449971947,31.26987096
2003,אלקנה,3.1,8658.517496,1286,2.786885246,32.59016393
2003,אעבלין,10.3,3759.452305,2516,3.176149649,43.26773188
2003,אפרתה,7,7573.097962,2216,2.799488418,46.45445502
2003,באר יעקב,8.7,5972.514241,2686,7.558005973,34.11440386
2003,בועיינה-נוג'ידאת,7.3,3211.641655,1436,2.014802632,49.43804825
2003,בוקעאתא,5.2,2781.74963,1126,4.564633679,39.85423859
2003,ביר אל-מכסור,6.7,3515.409669,1429,2.586466165,48.85714286
2003,בית אל,4.6,5139.969015,1334,1.68575751,51.99913551
2003,בית אריה,2.5,7599.173882,1386,1.942902458,35.72561459
2003,בית ג'ן,9.6,4251.169726,2479,5.215042593,41.79306046
2003,בית דגן,5.2,6511.654498,2027,7.200152788,33.49885409
2003,"בני עי""ש",7.7,4937.720745,3008,15.1799687,26.36932707
2003,בנימינה-גבעת עדה,6.7,8082.822695,3658,6.695691338,32.63774208
2003,"בסמ""ה",7,3286.449688,1441,1.846814603,57.20830351
2003,בסמת טבעון,5.9,3803.448448,1332,3.152542373,44.96610169
2003,גבעת זאב,10.8,7561.231654,4347,3.373493976,36.64504171
2003,גבעת שמואל,16.5,8678.52891,7166,7.936411992,33.10565764
2003,ג'דיידה-מכר,16.9,3316.910215,3888,3.061406111,44.06407594
2003,גדרה,12.6,6830.263661,4764,10.94157641,36.37441695
2003,ג'ולס,5.1,4356.484297,1401,5.028481634,41.62247103
2003,ג'לג'וליה,7.1,3052.342905,1541,2.348143982,49.60629921
2003,גן יבנה,13.1,7153.264381,4885,4.398041915,39.07755851
2003,גני תקווה,11.8,9039.046688,4937,8.300261758,30.79456219
2003,ג'סר א-זרקא,10.5,2673.447271,3017,1.554898407,50.07154441
2003,ג'ש (גוש חלב),2.6,4594.952321,790,9.448515233,34.97878905
2003,דבורייה,7.9,3816.734858,1596,4.150847887,44.50771956
2003,דייר חנא,8.2,3375.933748,1888,3.294146461,43.99951016
2003,הר אדר,1.8,,,3.099510604,29.14627515
2003,זכרון יעקב,15,9933.989138,5125,7.651767845,36.66444296
2003,זמר,4.9,3796.790784,1228,3.300061112,45.69158688
2003,זרזיר,5.9,3628.990112,1104,2.455432223,48.839556
2003,חורה,8.2,3707.427795,966,1.300294406,57.51962709
2003,חורפיש,4.9,4154.080003,1101,4.034056355,43.05696331
2003,חצור הגלילית,8.5,4062.296326,3076,8.237502934,36.58765548
2003,טובא-זנגרייה,4.9,3155.143055,1387,2.094773236,46.47142567
2003,טורעאן,10.6,3417.144922,2150,3.334589299,46.82554635
2003,יאנוח-ג'ת,4.9,4352.219041,1432,3.251371672,43.26356432
2003,יבנאל,2.7,4867.281277,786,8.139104698,40.65852756
2003,יסוד המעלה,1.2,,,7.825370675,30.88962109
2003,יפיע,15.8,3785.540815,3375,3.478974618,43.41457255
2003,יקנעם עילית,17.3,6336.717393,7437,7.295044002,34.13038444
2003,ירוחם,8.8,5002.143787,3187,8.372305236,34.27626326
2003,ירכא,11.9,4175.176351,2573,3.226887939,45.60388903
2003,כאבול,8.9,3409.880412,1940,2.466644243,45.55443435
2003,כאוכב אבו אל-היג'א,2.7,3458.835744,726,4.292168675,41.41566265
2003,כוכב יאיר,4.8,10845.36569,4257,2.067397147,28.13727517
2003,כסיפה,8.5,3237.40797,1284,0.994268335,60.91940578
2003,כסרא-סמיע,6.2,4322.034512,1386,3.288418351,47.46551171
2003,כעביה-טבאש-חג'אג'רה,3.7,3236.987572,865,2.594210814,51.2288367
2003,כפר ברא,2.4,4476.100596,531,2.029826015,54.84672742
2003,כפר ורדים,5.2,10097.64995,2174,5.829165063,34.05155829
2003,כפר יאסיף,8.1,3837.61824,2256,5.044291339,39.25935039
2003,כפר יונה,11.5,6372.858098,4684,4.759427828,34.54703078
2003,כפר כמא,2.8,4900.663938,855,6.625855239,35.50594166
2003,כפר כנא,16.6,3396.354477,3287,2.788844622,47.7544368
2003,כפר מנדא,14.2,3032.330872,2370,2.316738258,52.8906415
2003,כפר קאסם,16.3,3651.832916,3592,2.744615385,49.76615385
2003,כפר קרע,13.5,3997.540011,3599,2.984188256,44.61435677
2003,כפר שמריהו,1.8,,,20.57015092,23.64449413
2003,כפר תבור,2.3,8669.857724,1025,4.045996593,33.26235094
2003,להבים,5.1,12121.8343,2423,2.938871473,34.30642633
2003,לקיה,6.6,3181.422597,1068,1.761044482,54.66828602
2003,מבשרת ציון,21.4,9333.495314,8910,6.010546456,33.51999627
2003,מגאר,18.3,3855.977128,3760,3.212763632,44.61807453
2003,מגדל,1.5,,,6.720977597,29.32790224
2003,מג'דל שמס,8.4,2376.734176,2017,4.265402844,36.63507109
2003,מודיעין עילית,24.3,3049.249185,3785,1.000411692,57.72745986
2003,מזכרת בתיה,7.6,8482.831305,3122,4.694092827,35.06065401
2003,מזרעה,3.3,3849.225379,880,4.337276312,43.43342433
2003,מטולה,1.5,,,6.0875513,30.71135431
2003,מיתר,6.4,10660.40767,2815,5.211112855,33.57400722
2003,מנחמיה,1.1,,,6.34774609,27.4149034
2003,מסעדה,3.1,2537.928659,820,4.154589372,36.55394525
2003,מעיליא,2.6,5147.233998,828,10.56283732,33.53893601
2003,מעלה אפרים,1.4,,,3.672903673,30.83853084
2003,מעלה עירון,11,3271.628606,2288,2.712328767,47.83561644
2003,מצפה רמון,4.9,4312.104966,1641,8.680412371,34.80412371
2003,משהד,6.5,3016.666368,1116,2.790982978,49.79297654
2003,נחף,9.5,3661.122509,1940,2.65979815,49.58999159
2003,סאג'ור,3.4,3873.446494,813,3.386336867,44.69964664
2003,סביון,2.5,16905.93953,1305,17.54176611,22.19570406
2003,ע'ג'ר,1.9,,,2.834645669,47.66404199
2003,עומר,5.9,12309.97501,3131,14.08736878,22.8073146
2003,עיילבון,4.1,4660.361932,1151,4.90456632,38.68084078
2003,עילוט,6.2,3613.669596,1024,2.244832041,48.93410853
2003,עין מאהל,10.1,2894.660381,1803,2.624309392,47.64206788
2003,עין קנייא,1.8,,,4.436860068,37.7701934
2003,עמנואל,2.5,3594.550779,535,4.032586558,52.87169043
2003,עראבה,18.5,3313.933324,3722,2.816597421,47.66632493
2003,ערערה,14.9,3438.199413,3466,3.632449886,43.60285215
2003,ערערה-בנגב,11,3645.683855,1086,1.172407525,61.14695992
2003,פוריידיס,9.6,3330.9053,2566,2.520393223,43.9238653
2003,פסוטה,2.9,4052.853888,823,8.122179799,34.43248872
2003,פקיעין (בוקייעה),4.9,4368.527017,1388,5.892047796,38.79274825
2003,פרדס חנה-כרכור,29,5692.094343,11051,11.62430254,31.16346353
2003,פרדסייה,6,8659.285463,2371,2.337533156,35.59350133
2003,צורן,5.8,8544.26329,5474,3.75538329,42.04995693
2003,קדומים,2.9,5476.666434,1073,2.828902522,44.06952965
2003,קציר-חריש,3.6,6427.448925,1209,4.5,35.19444444
2003,קצרין,6.3,4046.370756,2739,9.223918575,30.58206107
2003,קריית ארבע,6.6,3882.308038,1891,4.981074943,45.22331567
2003,קריית טבעון,13.4,8391.276271,5624,15.49022534,26.31696762
2003,קריית יערים,2.9,5018.554531,434,2.689819544,51.7875383
2003,קריית עקרון,9.6,5321.577118,3620,7.925311203,31.33817427
2003,קרני שומרון,6.1,5931.135653,2249,3.577876251,39.1268669
2003,ראמה,7.4,4280.814696,1945,6.897959184,38.88435374
2003,ראש פינה,2.3,6047.790311,922,5.861613045,30.23358308
2003,ריינה,15,3600.026888,2622,3.184416966,44.06993751
2003,רכסים,8.1,4123.711557,1745,4.049689441,50.98136646
2003,רמת ישי,5.4,8160.688797,2105,3.751399776,30.98170959
2003,שבלי - אום אל-גנם,4.6,3854.024962,1085,2.93088364,45.12248469
2003,שגב-שלום,5.5,3436.86531,688,1.292083712,61.12829845
2003,שוהם,16.6,11626.60911,6019,1.693077062,43.68861843
2003,שלומי,5.2,5060.137086,2403,7.006369427,31.24879367
2003,שעב,5.6,3425.181605,1138,2.722904431,46.85887169
2003,תל מונד,7.9,9601.34396,3168,5.029284441,36.50369239
2003,תל שבע,11.9,3473.527799,1319,1.183282981,62.43705942
2004,אום אל-פחם,40,3307,7872,2.527030739,47.95365446
2004,אופקים,24,4207,7219,9.826372986,36.07861098
2004,אור יהודה,30.1,5386,11538,8.300355825,30.91350471
2004,אור עקיבא,15.8,4175,6533,10.27770733,28.76616789
2004,אילת,44.5,5106,24417,6.140823566,27.38111276
2004,אריאל,16.4,5280,7572,8.041915438,27.63494578
2004,אשדוד,196.9,5083,68406,11.31724758,32.41596116
2004,אשקלון,105.1,4739,37631,13.67996346,28.1307095
2004,באקה-ג'ת,30.2,4340,7175,3.253566346,45.30831099
2004,באר שבע,184.5,5630,69650,12.04498645,27.31869919
2004,בית שאן,16,4591,6580,7.007918199,35.22663508
2004,בית שמש,61.9,4896,15321,4.635804363,48.31021621
2004,ביתר עילית,24.9,3156,3602,0.678851175,62.20124523
2004,בני ברק,142.3,4419,29161,8.099962061,46.80048337
2004,בת ים,130.4,4568,54168,18.80833506,21.116812
2004,גבעתיים,47.9,8262,20052,19.53366147,20.54100275
2004,דימונה,33.7,5707,11499,9.597339351,31.44375817
2004,הוד השרון,41.7,8943,16754,8.269055718,30.35739951
2004,הרצלייה,83.6,8038,34837,13.50701834,23.04574476
2004,חדרה,75.3,5269,30477,12.32283517,27.90802704
2004,חולון,165.8,5646,68144,14.91693711,24.10693819
2004,חיפה,268.3,6936,100120,18.0428032,22.18519223
2004,טבריה,39.9,4414,14435,9.748648107,31.46404967
2004,טייבה,32.1,3948,7650,3.614645224,44.62935888
2004,טירה,20.3,4201,4863,3.957952919,42.96994522
2004,טירת כרמל,18.9,4704,6907,11.5417241,26.98547344
